date,company,symbol,open,high,low,close,rsi,macd,macd_signal,macd_histogram,ema_20,ema_50,ema_200,atr,atr_pct,volume_ratio,trend_score,price_vs_ema20,nifty_trend,banknifty_trend,sensex_trend,sentiment_score,impact_score,relevance_score,news_count,dominant_event,trigger_count,target
2021-01-03,adani,ADANIENT.NS,475.63,491.83,475.63,489.74,68.91,22.0864,22.4179,-0.3315,458.6,412.95,250.88,21.52,4.3932,0.9518,3,31.14,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2021-01-04,adani,ADANIENT.NS,490.59,501.16,485.25,493.08,69.81,22.2044,22.3752,-0.1708,461.89,416.1,253.29,21.11,4.2822,0.9261,3,31.2,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2021-01-05,adani,ADANIENT.NS,490.59,499.96,488.2,492.98,69.74,22.0358,22.3073,-0.2715,464.85,419.11,255.67,20.45,4.1476,0.6967,3,28.13,Bullish,Bullish,Bullish,0,0,0,0,None,0,1
2021-01-06,adani,ADANIENT.NS,494.58,499.21,482.86,489.49,67.38,21.3742,22.1207,-0.7465,467.19,421.87,258,20.15,4.1174,0.6318,3,22.3,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2021-01-07,adani,ADANIENT.NS,492.48,522.45,492.38,516.61,74.59,22.7759,22.2517,0.5242,471.9,425.59,260.57,21.07,4.0783,1.7737,5,44.71,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2021-01-10,adani,ADANIENT.NS,521.5,525.09,512.63,516.51,74.52,23.6066,22.5227,1.0839,476.15,429.15,263.12,20.45,3.96,0.6612,5,40.36,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2021-01-11,adani,ADANIENT.NS,519.11,523.09,509.04,517.66,74.79,24.0798,22.8341,1.2457,480.1,432.62,265.65,20,3.863,0.733,5,37.56,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2021-01-12,adani,ADANIENT.NS,517.51,535.06,515.62,523.89,76.28,24.6733,23.202,1.4714,484.27,436.2,268.22,19.96,3.8095,0.8535,5,39.62,Bullish,Bullish,Bullish,0.2,0.8,0.9,10,Acquisition,0,0
2021-01-13,adani,ADANIENT.NS,527.58,538.65,519.8,534.51,78.6,25.7043,23.7024,2.0019,489.06,440.06,270.87,19.88,3.719,0.8645,5,45.45,Bullish,Bullish,Bullish,0.14,0.56,0.63,0,None,0,0
2021-01-14,adani,ADANIENT.NS,533.42,539.45,526.88,530.57,75.65,25.9049,24.1429,1.762,493.01,443.61,273.46,19.36,3.6481,0.5568,5,37.56,Bullish,Bullish,Bullish,0.07,0.28,0.315,0,None,0,-1
2021-01-17,adani,ADANIENT.NS,533.17,535.96,517.31,525.79,72.1,25.385,24.3913,0.9937,496.13,446.83,275.97,19.31,3.6717,0.6029,5,29.65,Bullish,Bullish,Bullish,0.021,0.084,0.0945,0,None,0,1
2021-01-18,adani,ADANIENT.NS,526.49,527.58,500.61,506.39,59.87,23.1414,24.1413,-1,497.11,449.17,278.26,19.85,3.9205,0.9046,3,9.28,Bullish,Bullish,Bullish,0.0063,0.0252,0.0284,0,None,0,0
2021-01-19,adani,ADANIENT.NS,510.83,530.47,510.83,528.58,66.81,22.8896,23.891,-1.0014,500.11,452.28,280.75,20.15,3.813,0.7342,3,28.47,Bullish,Bullish,Bullish,0.0019,0.0076,0.0085,0,None,0,0
2021-01-20,adani,ADANIENT.NS,530.62,550.57,529.48,545.18,70.87,23.7559,23.864,-0.1081,504.4,455.92,283.38,20.29,3.7209,1.1907,3,40.78,Bullish,Bullish,Bullish,0.0006,0.0023,0.0026,0,None,0,0
2021-01-21,adani,ADANIENT.NS,549.82,551.36,530.02,535.36,65.74,23.3804,23.7673,-0.3869,507.35,459.04,285.89,20.36,3.8032,0.7526,3,28.01,Bullish,Bullish,Bullish,0.0002,0.0007,0.0008,0,None,0,0
2021-01-24,adani,ADANIENT.NS,532.52,545.18,520.1,525.29,60.88,22.0164,23.4171,-1.4007,509.06,461.64,288.27,20.7,3.9403,0.7738,3,16.23,Bullish,Neutral,Bullish,0.0001,0.0002,0.0002,0,None,0,0
2021-01-26,adani,ADANIENT.NS,528.73,532.87,507.54,512.43,55.27,19.6707,22.6678,-2.9971,509.38,463.63,290.5,21.03,4.1037,0.7605,3,3.05,Neutral,Neutral,Neutral,0,0.0001,0.0001,0,None,0,0
2021-01-27,adani,ADANIENT.NS,511.63,520.05,505.6,511.33,54.8,17.5212,21.6385,-4.1173,509.56,465.5,292.7,20.56,4.0208,0.5879,2,1.76,Neutral,Bearish,Bearish,0,0,0,0,None,0,0
2021-01-28,adani,ADANIENT.NS,505.84,518.01,499.91,510.38,54.38,15.5619,20.4232,-4.8612,509.64,467.26,294.86,20.38,3.9938,0.8953,2,0.74,Bearish,Bearish,Bearish,0,0,0,0,None,0,1
2021-01-31,adani,ADANIENT.NS,513.72,523.69,501.06,505.2,52,13.4359,19.0257,-5.5898,509.22,468.75,296.96,20.54,4.0666,0.8493,0,-4.02,Bearish,Bearish,Bearish,0.6,0.7,0.8,10,Product,0,1
2021-02-01,adani,ADANIENT.NS,509.04,537.95,495.47,535.66,62.4,14.0472,18.03,-3.9828,511.74,471.37,299.33,22.11,4.1278,0.9,3,23.92,Neutral,Bullish,Neutral,0.3,0.35,0.4,0,None,0,0
2021-02-02,adani,ADANIENT.NS,540.49,565.27,539.25,562.58,68.83,16.5137,17.7267,-1.2131,516.58,474.95,301.95,22.65,4.0255,1.1537,3,46,Bullish,Bullish,Bullish,0.09,0.105,0.12,0,None,0,1
2021-02-03,adani,ADANIENT.NS,566.37,574.95,556.75,564.97,69.33,18.4488,17.8712,0.5776,521.19,478.48,304.57,22.33,3.9522,1.3287,5,43.79,Bullish,Bullish,Bullish,0.027,0.0315,0.036,0,None,0,0
2021-02-04,adani,ADANIENT.NS,560.34,609.95,554.4,588.01,73.72,21.5921,18.6154,2.9768,527.55,482.77,307.39,24.7,4.2009,2.2478,5,60.46,Bullish,Bullish,Bullish,0.0081,0.0095,0.0108,0,None,0,1
2021-02-07,adani,ADANIENT.NS,593.29,606.11,586.91,593.64,74.67,24.2582,19.7439,4.5143,533.85,487.12,310.24,24.31,4.0947,1.0075,5,59.8,Bullish,Bullish,Bullish,0.8,0.9,0.95,10,Acquisition,0,0
2021-02-08,adani,ADANIENT.NS,603.66,636.17,601.82,626.5,79.37,28.6915,21.5335,7.1581,542.67,492.59,313.38,25.61,4.0877,1.4494,5,83.83,Bullish,Bullish,Bullish,0.8,0.9,0.95,10,Acquisition,0,0
2021-02-09,adani,ADANIENT.NS,629.64,640.06,619.22,628.04,79.57,31.9613,23.619,8.3422,550.8,497.9,316.51,25.27,4.0234,0.9193,5,77.24,Bullish,Bullish,Bullish,0.56,0.63,0.665,0,None,0,0
2021-02-10,adani,ADANIENT.NS,631.23,653.02,620.32,648.83,82,35.8173,26.0587,9.7586,560.14,503.82,319.82,25.8,3.9764,1.2075,5,88.7,Bullish,Bullish,Bullish,0.28,0.315,0.3325,0,None,0,1
2021-02-11,adani,ADANIENT.NS,652.12,659.1,643.5,656.71,82.83,39.0585,28.6586,10.3999,569.33,509.81,323.17,25.07,3.8178,0.7528,5,87.38,Bullish,Bullish,Bullish,0.084,0.0945,0.0997,0,None,0,1
2021-02-14,adani,ADANIENT.NS,655.12,722.37,653.32,716.89,87.57,45.9533,32.1176,13.8358,583.39,517.93,327.09,28.21,3.9355,3.0118,5,133.5,Bullish,Bullish,Bullish,0.0252,0.0284,0.0299,0,None,0,0
2021-02-15,adani,ADANIENT.NS,722.92,785.69,705.62,761.26,89.8,54.3712,36.5683,17.8029,600.33,527.48,331.41,31.92,4.1927,3.3241,5,160.93,Bullish,Bullish,Bullish,0.0076,0.0085,0.009,0,None,0,0
2021-02-16,adani,ADANIENT.NS,757.82,800.65,754.08,777.96,90.49,61.6792,41.5905,20.0887,617.25,537.3,335.85,32.96,4.2372,2.697,5,160.72,Bullish,Bullish,Bullish,0.8,0.9,0.95,10,Acquisition,0,0
2021-02-17,adani,ADANIENT.NS,784.89,799.7,780.01,783.2,90.7,67.1195,46.6963,20.4232,633.05,546.94,340.31,32.16,4.1065,1.1975,5,150.15,Bullish,Bullish,Bullish,0.56,0.63,0.665,0,None,0,0
2021-02-18,adani,ADANIENT.NS,784.99,822.13,783.74,805.88,91.58,72.4266,51.8423,20.5842,649.51,557.1,344.94,32.65,4.0509,1.2773,5,156.37,Bullish,Bullish,Bullish,0.28,0.315,0.3325,10,Other,0,0
2021-02-21,adani,ADANIENT.NS,810.67,828.62,727.41,779.66,81.93,73.6672,56.2073,17.4598,661.91,565.82,349.26,37.54,4.8153,2.4089,5,117.75,Bullish,Bullish,Bullish,0.8,0.6,0.9,10,Other,0,0
2021-02-22,adani,ADANIENT.NS,783.74,810.67,778.31,803.59,83.63,75.7086,60.1076,15.6011,675.4,575.15,353.78,37.17,4.6258,1.2481,5,128.19,Neutral,Bullish,Neutral,0.4,0.3,0.45,0,None,0,0
2021-02-23,adani,ADANIENT.NS,812.46,824.93,786.74,797.36,81.48,75.9482,63.2757,12.6725,687.01,583.86,358.2,37.25,4.6711,1.0805,5,110.34,Neutral,Bullish,Neutral,0.12,0.09,0.135,0,None,0,1
2021-02-24,adani,ADANIENT.NS,803.69,809.72,793.17,802.89,81.93,75.7118,65.7629,9.9489,698.05,592.45,362.62,35.77,4.4548,0.5073,5,104.84,Bullish,Bullish,Bullish,0.8,0.7,0.9,10,Joint Venture,0,0
2021-02-25,adani,ADANIENT.NS,811.66,859.93,806.68,841.08,84.66,77.7103,68.1524,9.5579,711.67,602.2,367.38,37.29,4.4332,1.2736,5,129.41,Bullish,Bullish,Bullish,0.4,0.35,0.45,0,None,0,0
2021-02-28,adani,ADANIENT.NS,831.51,858.53,817.5,831.26,81.26,77.607,70.0433,7.5637,723.06,611.18,372,37.55,4.5177,1.148,5,108.2,Bearish,Neutral,Bearish,0.12,0.105,0.135,0,None,0,0
2021-03-01,adani,ADANIENT.NS,838.34,858.48,834.05,849.06,82.62,78.0615,71.647,6.4146,735.06,620.51,376.75,36.82,4.3361,0.6002,5,114,Neutral,Neutral,Neutral,0.036,0.0315,0.0405,0,None,0,1
2021-03-02,adani,ADANIENT.NS,854.94,873.99,849.8,870.05,84.09,79.2024,73.1581,6.0443,747.92,630.3,381.65,35.97,4.1339,0.5122,5,122.13,Neutral,Neutral,Neutral,0.0108,0.0095,0.0121,0,None,0,0
2021-03-03,adani,ADANIENT.NS,877.92,942.19,870.35,912.72,86.57,82.5981,75.0461,7.552,763.61,641.37,386.94,38.55,4.2237,1.1365,5,149.11,Bullish,Bullish,Bullish,0.0032,0.0028,0.0036,0,None,0,0
2021-03-04,adani,ADANIENT.NS,907.39,936.01,902.8,915.77,86.73,84.5599,76.9488,7.6111,778.1,652.13,392.2,38.17,4.168,0.8048,5,137.66,Bullish,Bullish,Neutral,0.001,0.0009,0.0011,0,None,0,0
2021-03-07,adani,ADANIENT.NS,915.37,931.32,885.75,907.29,83.75,84.4571,78.4505,6.0066,790.41,662.14,397.33,38.7,4.2652,0.6946,5,116.88,Neutral,Neutral,Neutral,0.0003,0.0003,0.0003,0,None,0,0
2021-03-08,adani,ADANIENT.NS,915.47,923.74,902.5,907.59,83.78,83.438,79.448,3.99,801.57,671.77,402.4,37.45,4.1264,0.3875,5,106.02,Neutral,Neutral,Neutral,0.0001,0.0001,0.0001,0,None,0,0
2021-03-09,adani,ADANIENT.NS,915.37,925.74,891.04,902.6,81.86,81.291,79.8166,1.4744,811.19,680.82,407.38,37.25,4.1274,0.5492,5,91.41,Bullish,Bullish,Neutral,0.8,0.7,0.9,10,Other,0,0
2021-03-11,adani,ADANIENT.NS,908.39,911.48,886.15,895.57,79.12,78.1217,79.4776,-1.3559,819.23,689.24,412.24,36.4,4.0647,0.541,3,76.35,Bullish,Bullish,Bullish,0.4,0.35,0.45,0,None,0,0
2021-03-14,adani,ADANIENT.NS,902.4,921.15,886.75,891.53,77.51,74.4262,78.4673,-4.0412,826.11,697.17,417.01,36.26,4.067,0.592,3,65.42,Neutral,Neutral,Neutral,0.8,0.7,0.9,10,Other,0,0
2021-03-15,adani,ADANIENT.NS,896.17,901.41,871.99,893.63,77.76,70.8497,76.9438,-6.0941,832.54,704.88,421.75,35.77,4.0028,0.543,3,61.09,Neutral,Neutral,Neutral,0.4,0.35,0.45,0,None,0,0
2021-03-16,adani,ADANIENT.NS,898.12,901.81,885.5,895.22,77.96,67.3675,75.0285,-7.6611,838.51,712.34,426.46,34.38,3.8404,0.294,3,56.71,Neutral,Neutral,Neutral,0.12,0.105,0.135,0,None,0,0
2021-03-17,adani,ADANIENT.NS,895.42,902.8,862.52,871.39,67.99,61.9705,72.4169,-10.4465,841.64,718.58,430.89,34.8,3.9938,0.4912,3,29.75,Neutral,Bearish,Neutral,0.036,0.0315,0.0405,0,None,0,0
2021-03-18,adani,ADANIENT.NS,873.49,888.44,855.29,868.55,66.89,56.8091,69.2954,-12.4863,844.21,724.46,435.24,34.68,3.9933,0.5807,3,24.34,Bearish,Bearish,Bearish,0.0108,0.0095,0.0121,0,None,0,1
2021-03-21,adani,ADANIENT.NS,863.52,892.83,837.79,887.1,70.27,53.5974,66.1558,-12.5584,848.29,730.84,439.74,36.14,4.0737,0.644,3,38.81,Neutral,Bearish,Neutral,0.0032,0.0028,0.0036,0,None,0,1
2021-03-22,adani,ADANIENT.NS,890.34,1000.12,880.92,988.21,81.41,58.536,64.6318,-6.0958,861.62,740.93,445.2,42.07,4.2574,2.9871,3,126.59,Neutral,Bearish,Neutral,0.001,0.0009,0.0011,0,None,0,0
2021-03-23,adani,ADANIENT.NS,996.13,1083.58,988.21,1055.36,85.34,67.0954,65.1245,1.9709,880.07,753.26,451.27,45.88,4.3472,3.6266,5,175.3,Neutral,Bearish,Neutral,0.0003,0.0003,0.0003,0,None,0,0
2021-03-24,adani,ADANIENT.NS,1059.95,1089.86,1015.48,1022.51,76.79,70.416,66.1828,4.2332,893.63,763.82,456.95,47.92,4.686,2.4782,5,128.87,Bearish,Bearish,Bearish,0.0001,0.0001,0.0001,0,None,0,0
2021-03-25,adani,ADANIENT.NS,1029.99,1038.46,974.2,978.73,67.13,68.7231,66.6909,2.0322,901.74,772.25,462.14,49.08,5.0149,1.3606,5,77,Bearish,Bearish,Bearish,0,0,0,0,None,0,0
2021-03-29,adani,ADANIENT.NS,997.13,1015.53,975.19,985.46,67.8,67.1506,66.7828,0.3678,909.71,780.61,467.35,48.46,4.9173,0.9869,5,75.75,Bearish,Bearish,Bearish,0,0,0,0,None,0,0
2021-03-30,adani,ADANIENT.NS,1001.12,1039.46,985.17,1028.59,71.78,68.5935,67.145,1.4486,921.03,790.33,472.94,48.87,4.7516,1.1048,5,107.56,Neutral,Neutral,Neutral,0,0,0,0,None,0,1
2021-03-31,adani,ADANIENT.NS,1035.02,1050.13,1013.68,1028.19,71.69,68.9105,67.4981,1.4124,931.24,799.66,478.46,47.99,4.6671,0.678,5,96.95,Neutral,Bearish,Neutral,0,0,0,0,None,0,0
2021-04-04,adani,ADANIENT.NS,1040.41,1112.85,1032.03,1104.02,77.37,74.4228,68.883,5.5398,947.7,811.6,484.68,50.61,4.5838,1.2869,5,156.33,Neutral,Neutral,Neutral,0,0,0,0,None,0,1
2021-04-05,adani,ADANIENT.NS,1123.77,1146.7,1095.7,1134.98,79.21,80.3633,71.1791,9.1842,965.53,824.28,491.16,50.63,4.4613,1.5663,5,169.45,Neutral,Bearish,Neutral,0,0,0,0,None,0,-1
2021-04-06,adani,ADANIENT.NS,1150.09,1237.44,1139.22,1221.88,83.3,91.0339,75.15,15.8838,989.95,839.87,498.43,54.34,4.4469,1.9992,5,231.94,Neutral,Bearish,Neutral,0,0,0,0,None,0,0
2021-04-07,adani,ADANIENT.NS,1229.86,1248.01,1104.82,1162.21,72.71,93.5959,78.8392,14.7567,1006.35,852.51,505.03,60.68,5.2213,1.9924,5,155.85,Neutral,Bearish,Neutral,0.2,0.6,0.8,10,Other,0,0
2021-04-08,adani,ADANIENT.NS,1159.16,1187.58,1134.49,1159.16,72.21,94.294,81.9302,12.3638,1020.91,864.54,511.54,60.14,5.1883,1.0361,5,138.26,Neutral,Bearish,Neutral,0.1,0.3,0.4,0,None,0,-1
2021-04-11,adani,ADANIENT.NS,1160.06,1224.48,1147.9,1197.95,74.62,96.8606,84.9163,11.9443,1037.77,877.61,518.37,61.32,5.1183,1.0472,5,160.19,Neutral,Bearish,Neutral,0.03,0.09,0.12,0,None,0,0
2021-04-12,adani,ADANIENT.NS,1174.02,1174.02,1058.35,1071.32,57.16,87.6656,85.4661,2.1995,1040.96,885.21,523.87,66.91,6.2453,1.0736,5,30.35,Bearish,Bearish,Bearish,0.009,0.027,0.036,0,None,0,0
2021-04-14,adani,ADANIENT.NS,1073.91,1113.1,1048.03,1103.18,59.72,82.004,84.7737,-2.7697,1046.89,893.76,529.64,66.78,6.053,0.9296,3,56.29,Neutral,Bearish,Bearish,0.0027,0.0081,0.0108,0,None,0,0
2021-04-15,adani,ADANIENT.NS,1091.86,1141.62,1078.25,1126.71,61.54,78.5109,83.5211,-5.0103,1054.49,902.89,535.58,66.53,5.905,0.7051,3,72.22,Neutral,Bearish,Neutral,0.0008,0.0024,0.0032,0,None,0,0
2021-04-18,adani,ADANIENT.NS,1126.76,1188.58,1108.81,1155.67,63.72,77.1902,82.2549,-5.0648,1064.13,912.81,541.75,67.48,5.8388,0.78,3,91.55,Neutral,Bearish,Neutral,0.0002,0.0007,0.001,0,None,0,0
2021-04-19,adani,ADANIENT.NS,1096.84,1149.69,1085.88,1133.09,60.83,73.4741,80.4988,-7.0247,1070.69,921.44,547.63,67.64,5.9698,0.6161,3,62.4,Bearish,Bearish,Bearish,0.0001,0.0002,0.0003,0,None,0,0
2021-04-21,adani,ADANIENT.NS,1153.53,1174.32,1121.82,1139.47,61.36,70.2344,78.4459,-8.2115,1077.24,929.99,553.52,66.56,5.8414,0.5863,3,62.23,Bearish,Bearish,Bearish,0,0.0001,0.0001,0,None,0,0
2021-04-22,adani,ADANIENT.NS,1130.75,1165.65,1119.78,1154.48,62.65,68.0929,76.3753,-8.2824,1084.6,938.8,559.5,65.08,5.6375,0.5015,3,69.88,Bearish,Bearish,Bearish,-0.5,0.2,0.8,10,Other,0,0
2021-04-25,adani,ADANIENT.NS,1157.67,1179.51,1142.36,1154.28,62.62,65.6232,74.2249,-8.6017,1091.24,947.25,565.42,63.09,5.4655,0.4607,3,63.04,Bearish,Bearish,Bearish,-0.15,0.06,0.24,0,None,0,0
