date,company,symbol,open,high,low,close,rsi,macd,macd_signal,macd_histogram,ema_20,ema_50,ema_200,atr,atr_pct,volume_ratio,trend_score,price_vs_ema20,nifty_trend,banknifty_trend,sensex_trend,sentiment_score,impact_score,relevance_score,news_count,dominant_event,trigger_count,target
2020-01-02,infosys,INFY.NS,621.46,623.06,614.74,617.93,57.74,5.7403,5.0846,0.6558,610.46,608.42,617.66,9.93,1.6067,0.8918,3,7.47,Bullish,Bullish,Bullish,0.6,0.7,0.8,10,Macro,0,0
2020-01-03,infosys,INFY.NS,617.26,629.12,617.26,627.44,63.37,6.362,5.3401,1.022,612.08,609.16,617.75,10.07,1.6043,1.2131,3,15.36,Bullish,Neutral,Bullish,0.3,0.35,0.4,0,None,0,0
2020-01-06,infosys,INFY.NS,627.52,634,619.45,621.42,58.09,6.2969,5.5314,0.7654,612.97,609.64,617.79,10.39,1.6714,0.9934,3,8.46,Bearish,Bearish,Bearish,-0.2,0.6,0.8,10,Earnings,0,0
2020-01-07,infosys,INFY.NS,620.71,624.58,609.86,612.21,51.09,5.4394,5.513,-0.0736,612.89,609.74,617.74,10.7,1.7471,1.1904,-2,-0.68,Neutral,Bearish,Neutral,-0.1,0.3,0.4,0,None,0,0
2020-01-08,infosys,INFY.NS,609.73,613.14,595.73,604.05,45.81,4.0548,5.2214,-1.1666,612.05,609.52,617.6,11.18,1.8501,1.2621,-2,-8,Neutral,Bearish,Neutral,-0.03,0.09,0.12,0,None,0,0
2020-01-09,infosys,INFY.NS,607,615.24,600.77,611.92,51.06,3.5511,4.8873,-1.3362,612.04,609.62,617.54,11.41,1.8647,1.873,-2,-0.12,Bullish,Neutral,Bullish,-0.009,0.027,0.036,0,None,0,0
2020-01-10,infosys,INFY.NS,622.77,624.83,614.4,620.83,56.23,3.8272,4.6753,-0.8481,612.88,610.05,617.58,11.52,1.8552,1.3101,1,7.96,Bullish,Neutral,Bullish,-0.0027,0.0081,0.0108,0,None,0,1
2020-01-13,infosys,INFY.NS,639.21,653.93,635.01,650.61,68.28,6.375,5.0152,1.3598,616.47,611.65,617.9,13.06,2.0072,4.3663,3,34.14,Bullish,Bullish,Bullish,0.8,0.7,0.9,10,Earnings,0,0
2020-01-14,infosys,INFY.NS,647.58,653.47,645.27,652.37,68.83,8.4394,5.7001,2.7393,619.89,613.24,618.25,12.71,1.9486,1.3041,3,32.48,Bullish,Neutral,Bullish,0.4,0.35,0.45,0,None,0,0
2020-01-15,infosys,INFY.NS,650.86,650.86,641.02,645.56,64.22,9.4172,6.4435,2.9737,622.34,614.51,618.52,12.62,1.9541,0.709,3,23.23,Bullish,Neutral,Bullish,0.12,0.105,0.135,0,None,0,0
2020-01-16,infosys,INFY.NS,648.21,649.72,639.42,645.1,63.91,10.039,7.1626,2.8764,624.5,615.71,618.78,12.45,1.9299,0.6996,3,20.6,Bullish,Neutral,Bullish,0.036,0.0315,0.0405,0,None,0,0
2020-01-17,infosys,INFY.NS,648.21,650.06,641.1,645.81,64.2,10.4688,7.8238,2.645,626.53,616.89,619.05,12.2,1.8892,0.4684,3,19.28,Bullish,Neutral,Bullish,0.0108,0.0095,0.0121,0,None,0,0
2020-01-20,infosys,INFY.NS,648.97,651.32,641.69,646.32,64.41,10.7265,8.4044,2.3222,628.42,618.04,619.32,12.02,1.8593,0.496,3,17.9,Neutral,Bearish,Neutral,0.0032,0.0028,0.0036,0,None,0,0
2020-01-21,infosys,INFY.NS,646.32,648.04,639.84,641.31,60.49,10.407,8.8049,1.6021,629.65,618.96,619.54,11.74,1.8313,0.5694,3,11.67,Neutral,Bearish,Neutral,0.001,0.0009,0.0011,0,None,0,0
2020-01-22,infosys,INFY.NS,646.32,654.35,644.26,647.79,63.58,10.5547,9.1548,1.3998,631.37,620.09,619.82,11.84,1.8272,1.1938,5,16.42,Neutral,Bearish,Neutral,0.0003,0.0003,0.0003,0,None,0,1
2020-01-23,infosys,INFY.NS,653.59,660.66,653.26,659.69,68.47,11.4994,9.6238,1.8757,634.07,621.64,620.22,11.91,1.8054,1.4586,5,25.62,Neutral,Bearish,Neutral,0.0001,0.0001,0.0001,0,None,0,0
2020-01-24,infosys,INFY.NS,652.46,661.5,650.65,658.35,67.37,12.0013,10.0993,1.902,636.38,623.08,620.6,11.83,1.7976,0.8572,5,21.96,Neutral,Bearish,Neutral,0,0,0,0,None,0,0
2020-01-27,infosys,INFY.NS,655.23,660.07,651.32,654.43,64.14,11.9457,10.4686,1.4771,638.1,624.31,620.94,11.61,1.7747,0.4293,5,16.33,Neutral,Bearish,Neutral,0,0,0,0,None,0,0
2020-01-28,infosys,INFY.NS,656.87,657.55,649.3,654.35,64.07,11.7593,10.7267,1.0326,639.65,625.49,621.27,11.37,1.7381,0.5938,5,14.7,Bearish,Bearish,Bearish,0.6,0.4,0.8,10,Other,0,0
2020-01-29,infosys,INFY.NS,661.58,666.8,659.61,664.19,68.47,12.2643,11.0342,1.23,641.99,627.01,621.7,11.45,1.7239,0.7711,5,22.2,Neutral,Bearish,Neutral,0.8,0.6,0.9,10,Partnership,0,0
