date,company,symbol,open,high,low,close,rsi,macd,macd_signal,macd_histogram,ema_20,ema_50,ema_200,atr,atr_pct,volume_ratio,trend_score,price_vs_ema20,nifty_trend,banknifty_trend,sensex_trend,sentiment_score,impact_score,relevance_score,news_count,dominant_event,trigger_count,target
2021-01-03,tata,TMPV.NS,181.68,183.69,181.24,183.2,62.81,4.5892,4.6956,-0.1064,174.81,163.6,119.74,6.65,3.6292,0.5216,3,8.39,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2021-01-04,tata,TMPV.NS,188.41,189.59,185.41,187.92,66.51,5.1021,4.7769,0.3251,176.06,164.55,120.42,6.63,3.5282,1.2026,5,11.86,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2021-01-05,tata,TMPV.NS,183.79,190.47,181.78,189.78,67.87,5.5946,4.9405,0.6542,177.36,165.54,121.11,6.78,3.5711,1.3649,5,12.42,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2021-01-06,tata,TMPV.NS,191.01,194.11,187.28,191.94,69.42,6.0892,5.1702,0.919,178.75,166.58,121.82,6.78,3.5328,1.3227,5,13.19,Bullish,Bullish,Bullish,0.6,0.4,0.8,10,Product,0,0
2021-01-07,tata,TMPV.NS,193.52,196.81,191.65,193.27,70.36,6.513,5.4388,1.0743,180.14,167.63,122.53,6.66,3.4485,1.1294,5,13.13,Bullish,Bullish,Bullish,0.18,0.12,0.24,0,None,0,1
2021-01-10,tata,TMPV.NS,195.23,197.94,193.61,194.65,71.35,6.8806,5.7271,1.1535,181.52,168.69,123.25,6.52,3.3508,0.9114,5,13.13,Bullish,Bullish,Bullish,0.054,0.036,0.072,0,None,0,1
2021-01-11,tata,TMPV.NS,196.36,221.41,196.12,216.75,81.84,8.8533,6.3524,2.5009,184.87,170.57,124.18,7.97,3.6763,2.7561,5,31.87,Bullish,Bullish,Bullish,0.0162,0.0108,0.0216,0,None,0,0
2021-01-12,tata,TMPV.NS,222.99,247.94,220.14,233.59,86.03,11.6418,7.4103,4.2316,189.51,173.04,125.27,9.63,4.1212,4.6452,5,44.08,Bullish,Bullish,Bullish,0.0049,0.0032,0.0065,0,None,0,0
2021-01-13,tata,TMPV.NS,238.6,244.4,234.18,238.31,86.94,14.0701,8.7422,5.3279,194.16,175.6,126.39,9.71,4.075,1.8243,5,44.15,Bullish,Bullish,Bullish,0.0015,0.001,0.0019,0,None,0,1
2021-01-14,tata,TMPV.NS,238.55,245.38,234.38,240.77,87.4,16.0081,10.1954,5.8127,198.6,178.16,127.53,9.8,4.0717,0.9434,5,42.17,Bullish,Bullish,Bullish,0.0004,0.0003,0.0006,0,None,0,-1
2021-01-17,tata,TMPV.NS,241.65,259.97,238.31,255.7,89.76,18.5351,11.8633,6.6718,204.04,181.2,128.8,10.65,4.1652,2.4316,5,51.66,Bullish,Bullish,Bullish,0.0001,0.0001,0.0002,0,None,0,1
2021-01-18,tata,TMPV.NS,257.02,257.81,236.88,241.6,75.4,19.1793,13.3265,5.8528,207.61,183.57,129.93,11.38,4.7119,1.5878,5,33.99,Bullish,Bullish,Bullish,0,0,0.0001,0,None,0,1
2021-01-19,tata,TMPV.NS,247.05,257.07,246.86,254.08,78.65,20.4606,14.7534,5.7073,212.04,186.33,131.16,11.68,4.5955,1.2192,5,42.04,Bullish,Bullish,Bullish,0,0,0,0,None,0,1
2021-01-20,tata,TMPV.NS,255.4,272.59,254.27,270.04,81.95,22.5047,16.3036,6.2011,217.56,189.61,132.54,12.16,4.5048,1.7531,5,52.48,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2021-01-21,tata,TMPV.NS,276.03,293.71,275.05,285.46,84.44,25.08,18.0589,7.0211,224.03,193.37,134.06,12.99,4.5494,2.2097,5,61.43,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2021-01-24,tata,TMPV.NS,290.72,301.47,273.43,284.23,83.45,26.7139,19.7899,6.924,229.76,196.94,135.56,14.06,4.9474,2.2498,5,54.47,Bullish,Neutral,Bullish,0,0,0,0,None,0,0
2021-01-26,tata,TMPV.NS,291.65,294.2,272.44,274.21,75.66,26.8903,21.21,5.6803,234,199.97,136.94,14.61,5.3287,1.1431,5,40.22,Neutral,Neutral,Neutral,0,0,0,0,None,0,0
2021-01-27,tata,TMPV.NS,270.04,270.14,261,262.77,67.87,25.8092,22.1298,3.6794,236.74,202.43,138.19,14.51,5.5227,0.8638,5,26.03,Neutral,Bearish,Bearish,0,0,0,0,None,0,0
2021-01-28,tata,TMPV.NS,255.45,268.56,254.47,262.08,67.42,24.6132,22.6265,1.9867,239.15,204.77,139.42,14.48,5.5259,0.855,5,22.93,Bearish,Bearish,Bearish,0.2,0.6,0.8,10,Product,0,1
