date,company,symbol,open,high,low,close,rsi,macd,macd_signal,macd_histogram,ema_20,ema_50,ema_200,atr,atr_pct,volume_ratio,trend_score,price_vs_ema20,nifty_trend,banknifty_trend,sensex_trend,sentiment_score,impact_score,relevance_score,news_count,dominant_event,trigger_count,target
2019-01-01,vodafone,IDEA.NS,22.91,22.97,22.37,22.76,52.58,-0.0316,-0.2188,0.1872,22.42,23.19,31.92,0.94,4.1179,0.4429,0,0.34,Bullish,Bullish,Neutral,0,0,0,0,None,0,0
2019-01-02,vodafone,IDEA.NS,22.88,22.88,22.01,22.16,46.88,-0.0531,-0.1857,0.1326,22.39,23.15,31.82,0.93,4.2096,0.5532,-2,-0.24,Neutral,Bullish,Neutral,0,0,0,0,None,0,0
2019-01-03,vodafone,IDEA.NS,21.56,21.89,21.01,21.77,43.57,-0.1006,-0.1687,0.0681,22.33,23.09,31.72,0.95,4.3553,1.242,-3,-0.57,Neutral,Neutral,Neutral,0,0,0,0,None,0,0
2019-01-04,vodafone,IDEA.NS,21.77,22.04,21.47,21.83,44.22,-0.1319,-0.1613,0.0294,22.29,23.04,31.62,0.92,4.2205,0.6914,-3,-0.46,Neutral,Bullish,Neutral,0.6,0.4,0.8,10,Product,0,0
2019-01-07,vodafone,IDEA.NS,22.07,22.28,21.95,22.1,47.18,-0.1332,-0.1557,0.0225,22.27,23.01,31.53,0.89,4.0171,0.4654,-2,-0.17,Neutral,Bullish,Neutral,0.18,0.12,0.24,0,None,0,0
2019-01-08,vodafone,IDEA.NS,22.01,22.49,21.86,22.28,49.12,-0.1183,-0.1482,0.0299,22.27,22.98,31.44,0.87,3.9028,0.554,0,0.01,Neutral,Bullish,Neutral,0.054,0.036,0.072,0,None,0,0
2019-01-09,vodafone,IDEA.NS,22.31,22.55,21.95,22.28,49.12,-0.1053,-0.1396,0.0343,22.27,22.95,31.34,0.85,3.8174,0.6788,0,0.01,Bullish,Bullish,Bullish,0.0162,0.0108,0.0216,0,None,0,0
2019-01-10,vodafone,IDEA.NS,22.31,22.67,22.19,22.37,50.18,-0.0867,-0.129,0.0424,22.28,22.93,31.26,0.82,3.6844,0.6279,0,0.09,Neutral,Bullish,Neutral,0.0049,0.0032,0.0065,0,None,0,0
2019-01-11,vodafone,IDEA.NS,22.34,22.49,22.04,22.25,48.72,-0.0807,-0.1194,0.0386,22.28,22.9,31.17,0.8,3.5849,0.531,-2,-0.03,Neutral,Bullish,Neutral,0.0015,0.001,0.0019,0,None,0,0
2019-01-14,vodafone,IDEA.NS,22.31,22.31,21.47,21.68,42.42,-0.1208,-0.1197,-0.0012,22.22,22.85,31.07,0.8,3.695,0.7511,-5,-0.54,Neutral,Neutral,Neutral,0.0004,0.0003,0.0006,0,None,0,0
2019-01-15,vodafone,IDEA.NS,21.68,21.98,21.5,21.86,44.85,-0.1365,-0.123,-0.0134,22.19,22.81,30.98,0.78,3.5603,0.7079,-5,-0.33,Bullish,Bullish,Bullish,0.0001,0.0001,0.0002,0,None,0,0
2019-01-16,vodafone,IDEA.NS,21.92,22.28,21.77,21.95,46.07,-0.1399,-0.1264,-0.0135,22.16,22.78,30.89,0.76,3.4592,0.669,-4,-0.21,Bullish,Bullish,Bullish,0,0,0.0001,0,None,0,0
2019-01-17,vodafone,IDEA.NS,21.95,22.4,21.71,22.28,50.41,-0.1146,-0.124,0.0094,22.17,22.76,30.8,0.75,3.3866,1.1281,0,0.11,Bullish,Bullish,Bullish,0,0,0,0,None,0,-1
2019-01-18,vodafone,IDEA.NS,22.31,22.31,20.71,21.22,39.51,-0.1776,-0.1348,-0.0429,22.08,22.7,30.71,0.81,3.8388,2.0637,-5,-0.86,Bullish,Bullish,Bullish,0,0,0,0,None,0,-1
2019-01-21,vodafone,IDEA.NS,21.22,21.38,19.54,19.81,30.1,-0.338,-0.1754,-0.1626,21.87,22.59,30.6,0.89,4.4828,2.7933,-5,-2.06,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2019-01-22,vodafone,IDEA.NS,19.75,20.32,19.66,20.2,34.73,-0.4286,-0.226,-0.2025,21.71,22.49,30.5,0.87,4.3163,1.3544,-5,-1.51,Bullish,Bullish,Bullish,0.2,0.4,0.8,10,Product,0,0
2019-01-23,vodafone,IDEA.NS,20.32,20.8,20.08,20.44,37.48,-0.4754,-0.2759,-0.1995,21.59,22.41,30.4,0.86,4.2136,0.9037,-5,-1.15,Neutral,Neutral,Neutral,0.2,0.6,0.8,10,Product,0,0
2019-01-24,vodafone,IDEA.NS,20.77,21.22,20.05,20.53,38.52,-0.4994,-0.3206,-0.1788,21.49,22.34,30.3,0.88,4.3044,2.2556,-5,-0.96,Neutral,Neutral,Neutral,0.1,0.3,0.4,0,None,0,0
2019-01-25,vodafone,IDEA.NS,20.38,20.62,19.45,19.81,33.67,-0.5703,-0.3705,-0.1997,21.33,22.24,30.19,0.9,4.567,1.4937,-5,-1.52,Neutral,Neutral,Neutral,0.03,0.09,0.12,0,None,0,-1
2019-01-28,vodafone,IDEA.NS,19.78,19.78,17.15,18.72,27.99,-0.7059,-0.4376,-0.2683,21.08,22.1,30.08,1.03,5.4988,1.7601,-5,-2.36,Bearish,Bearish,Bearish,0.2,0.4,0.8,10,Product,0,0
2019-01-29,vodafone,IDEA.NS,18.72,19.63,18.12,18.51,27.03,-0.8209,-0.5143,-0.3066,20.83,21.96,29.96,1.06,5.7459,1.7265,-5,-2.32,Bearish,Bearish,Bearish,0.06,0.12,0.24,0,None,0,0
2019-01-30,vodafone,IDEA.NS,18.63,18.93,18.21,18.42,26.61,-0.9089,-0.5932,-0.3157,20.6,21.82,29.85,1.04,5.6423,0.9089,-5,-2.18,Bearish,Bearish,Bearish,0.018,0.036,0.072,0,None,0,0
