date,company,symbol,open,high,low,close,rsi,macd,macd_signal,macd_histogram,ema_20,ema_50,ema_200,atr,atr_pct,volume_ratio,trend_score,price_vs_ema20,nifty_trend,banknifty_trend,sensex_trend,sentiment_score,impact_score,relevance_score,news_count,dominant_event,trigger_count,target
2018-01-01,yesbank,YESBANK.NS,308.78,310.98,304.67,305.94,49.83,-0.157,-1.1703,1.0133,305.39,310.81,314.12,6.33,2.0682,0.5253,0,0.55,Bullish,Neutral,Bullish,0,0,0,0,None,0,0
2018-01-02,yesbank,YESBANK.NS,306.72,307.31,300.61,305.01,48.61,-0.2054,-0.9774,0.7719,305.35,310.58,314.02,6.35,2.0834,0.6882,-2,-0.34,Bullish,Neutral,Bullish,0,0,0,0,None,0,0
2018-01-03,yesbank,YESBANK.NS,305.35,309.76,304.52,309.12,54,0.0869,-0.7645,0.8514,305.71,310.52,313.98,6.27,2.0298,0.7565,0,3.41,Bullish,Neutral,Bullish,0,0,0,0,None,0,1
2018-01-04,yesbank,YESBANK.NS,309.27,311.62,306.33,310.34,55.49,0.4125,-0.5291,0.9416,306.15,310.52,313.94,6.2,1.999,0.7581,1,4.19,Bullish,Neutral,Bullish,0.8,0.7,0.9,1,Macro,0,0
2018-01-07,yesbank,YESBANK.NS,310.74,330.7,310.69,325.76,69.12,1.8926,-0.0448,1.9373,308.02,311.12,314.06,7.21,2.2148,3.5222,1,17.74,Bullish,Bullish,Bullish,0.4,0.35,0.45,0,None,0,1
2018-01-08,yesbank,YESBANK.NS,328.84,334.03,324.24,326.49,69.6,3.0892,0.582,2.5071,309.78,311.72,314.18,7.4,2.2661,1.4263,1,16.71,Bullish,Bullish,Bullish,0.12,0.105,0.135,0,None,0,0
2018-01-09,yesbank,YESBANK.NS,327.77,335.5,320.57,334.08,74.06,4.5965,1.3849,3.2116,312.09,312.6,314.38,7.94,2.3755,1.4159,1,21.98,Bullish,Bullish,Bullish,0.036,0.0315,0.0405,0,None,0,0
2018-01-10,yesbank,YESBANK.NS,334.22,335.06,328.3,332.56,71.79,5.6041,2.2287,3.3753,314.04,313.38,314.56,7.85,2.361,1.0787,3,18.52,Bullish,Bullish,Bullish,0.0108,0.0095,0.0121,0,None,0,0
2018-01-11,yesbank,YESBANK.NS,331.78,336.92,328.16,335.84,73.67,6.5912,3.1012,3.4899,316.12,314.26,314.77,7.92,2.3572,0.8526,3,19.72,Bullish,Bullish,Bullish,0.0032,0.0028,0.0036,0,None,0,0
2018-01-14,yesbank,YESBANK.NS,336.77,337.36,330.36,333.64,70.28,7.1138,3.9037,3.21,317.79,315.02,314.96,7.85,2.3531,0.5844,5,15.85,Bullish,Bullish,Bullish,0.001,0.0009,0.0011,0,None,0,0
2018-01-15,yesbank,YESBANK.NS,334.62,336.38,327.96,328.84,63.45,7.0596,4.5349,2.5247,318.84,315.56,315.1,7.89,2.3997,0.7881,5,10,Bullish,Bullish,Bullish,0.0003,0.0003,0.0003,0,None,0,0
2018-01-16,yesbank,YESBANK.NS,328.84,331.53,321.01,327.72,61.92,6.8469,4.9973,1.8496,319.69,316.04,315.22,8.08,2.4653,0.8345,5,8.03,Bullish,Bullish,Bullish,0.0001,0.0001,0.0001,0,None,0,0
2018-01-17,yesbank,YESBANK.NS,327.96,336.18,324.34,335.11,67.45,7.1917,5.4362,1.7555,321.15,316.79,315.42,8.35,2.4911,0.9045,5,13.95,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2018-01-18,yesbank,YESBANK.NS,342.54,349.3,325.27,333.93,65.81,7.2861,5.8062,1.48,322.37,317.46,315.61,9.47,2.8353,3.4529,5,11.56,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2018-01-21,yesbank,YESBANK.NS,340.1,344.75,331.88,341.91,70.96,7.9134,6.2276,1.6858,324.23,318.42,315.87,9.71,2.8402,1.9503,5,17.68,Bullish,Bullish,Bullish,0,0,0,0,None,0,0
2018-01-22,yesbank,YESBANK.NS,342.49,350.62,341.32,347.78,74.05,8.7832,6.7387,2.0444,326.47,319.57,316.18,9.68,2.7838,1.1947,5,21.31,Bullish,Bullish,Bullish,0.8,0.7,0.9,1,Macro,0,0
2018-01-23,yesbank,YESBANK.NS,352.18,352.72,344.79,351.89,75.98,9.6924,7.3295,2.3629,328.9,320.84,316.54,9.56,2.7156,0.9016,5,23,Bullish,Bullish,Bullish,0.4,0.35,0.45,0,None,0,0
2018-01-24,yesbank,YESBANK.NS,349.39,358.5,348.42,357.03,78.17,10.7041,8.0044,2.6997,331.57,322.26,316.94,9.59,2.687,0.9852,5,25.45,Bullish,Bullish,Bullish,0.12,0.105,0.135,0,None,0,0
2018-01-28,yesbank,YESBANK.NS,356.73,356.73,348.07,353.9,73.76,11.125,8.6285,2.4965,333.7,323.5,317.31,9.55,2.6979,0.7808,5,20.2,Bullish,Bullish,Bullish,0.036,0.0315,0.0405,0,None,0,0
2018-01-29,yesbank,YESBANK.NS,353.51,355.95,347.98,350.37,69.05,11.0469,9.1122,1.9347,335.29,324.55,317.64,9.44,2.693,0.6814,5,15.09,Bullish,Bullish,Bullish,0.0108,0.0095,0.0121,0,None,0,0
2018-01-30,yesbank,YESBANK.NS,350.37,353.11,344.35,345.82,63.41,10.4968,9.3891,1.1077,336.29,325.38,317.92,9.39,2.7145,0.6668,5,9.53,Bullish,Bullish,Bullish,0.0032,0.0028,0.0036,0,None,0,0
2018-01-31,yesbank,YESBANK.NS,345.48,348.95,342.98,346.85,64.12,10.0282,9.5169,0.5112,337.3,326.23,318.21,9.14,2.6361,0.7107,5,9.55,Bullish,Bullish,Bullish,0.001,0.0009,0.0011,0,None,0,-1
2018-02-01,yesbank,YESBANK.NS,347.44,359.43,345.14,352.23,67.67,9.9761,9.6088,0.3674,338.72,327.25,318.55,9.51,2.7001,1.2198,5,13.51,Bullish,Bullish,Bullish,0.0003,0.0003,0.0003,0,None,0,0
2018-02-04,yesbank,YESBANK.NS,346.65,348.42,334.52,341.61,55.91,8.9746,9.4819,-0.5074,339,327.81,318.78,10.1,2.9556,1.2531,3,2.62,Neutral,Neutral,Neutral,0.0001,0.0001,0.0001,0,None,0,0
2018-02-05,yesbank,YESBANK.NS,332.76,341.56,326.49,336.28,51.11,7.6621,9.118,-1.4559,338.74,328.14,318.95,10.46,3.1092,1.1042,0,-2.46,Bearish,Bearish,Bearish,0,0,0,0,None,0,0
2018-02-06,yesbank,YESBANK.NS,318.08,335.59,317.1,331.53,47.22,6.1678,8.5279,-2.3601,338.05,328.27,319.07,11.08,3.3417,1.035,0,-6.52,Bearish,Bearish,Bearish,0,0,0,0,None,0,0
2018-02-07,yesbank,YESBANK.NS,336.67,336.67,323.56,325.81,42.98,4.4701,7.7164,-3.2463,336.88,328.18,319.14,11.22,3.4451,0.9693,-1,-11.08,Bearish,Bearish,Bearish,0,0,0,0,None,0,0
2018-02-08,yesbank,YESBANK.NS,325.81,333.1,324.44,327.86,44.89,3.253,6.8237,-3.5707,336.03,328.17,319.23,11.04,3.3677,0.6531,-1,-8.16,Bearish,Bearish,Bearish,0,0,0,0,None,0,0
2018-02-11,yesbank,YESBANK.NS,322.97,324.39,317.1,318.61,38.61,1.5246,5.7639,-4.2393,334.37,327.79,319.22,11.02,3.4592,0.7844,-1,-15.75,Bearish,Bearish,Bearish,0,0,0,0,None,0,-1
2018-02-13,yesbank,YESBANK.NS,319.64,330.02,319.64,328.25,46.94,0.922,4.7955,-3.8735,333.79,327.81,319.31,11.05,3.3659,0.9799,0,-5.53,Bearish,Bearish,Bearish,0,0,0,0,None,0,0
2018-02-14,yesbank,YESBANK.NS,328.84,330.65,312.16,313.53,38.37,-0.7356,3.6893,-4.4249,331.86,327.25,319.25,11.58,3.6937,1.0738,-1,-18.33,Bearish,Bearish,Bearish,0,0,0,0,None,0,0
2018-02-15,yesbank,YESBANK.NS,314.36,321.8,310.93,312.99,38.1,-2.0688,2.5377,-4.6065,330.06,326.69,319.19,11.53,3.6837,1.1886,-1,-17.07,Bearish,Bearish,Bearish,0,0,0,0,None,0,0
